time,,,MPC,RL,RL_opal_RT
0,0.00353341,0.229776382,3533.41,229776.3824,1.09E+02
0.02,0.00044007,0.00026989,440.07,269.8898315,1.10E+02
0.04,0.00043658,0.000151396,436.58,151.3957977,1.09E+02
0.06,0.00049776,0.000135183,497.76,135.1833344,1.09E+02
0.08,0.00046745,0.00014782,467.45,147.819519,1.09E+02
0.1,0.00043518,0.000165701,435.18,165.7009125,1.10E+02
0.12,0.00062766,0.000130892,627.66,130.8917999,1.10E+02
0.14,0.00043686,0.000132799,436.86,132.7991486,1.09E+02
0.16,0.00043476,0.000149012,434.76,149.0116119,1.09E+02
0.18,0.00043483,0.000140667,434.83,140.6669617,1.09E+02
0.2,0.00082029,0.000134468,820.29,134.4680786,1.10E+02
0.22,0.00100921,0.000132322,1009.21,132.3223114,1.10E+02
0.24,0.00082196,0.000132322,821.96,132.3223114,1.10E+02
0.26,0.00063549,0.000130653,635.49,130.6533813,1.10E+02
0.28,0.00044196,0.000144958,441.96,144.9584961,1.10E+02
0.3,0.00044112,0.000122786,441.12,122.7855682,1.09E+02
0.32,0.0004407,0.000142097,440.7,142.0974731,1.09E+02
0.34,0.00044286,0.000130892,442.86,130.8917999,1.10E+02
0.36,0.00044328,0.000144958,443.28,144.9584961,1.09E+02
0.38,0.00044545,0.000142336,445.45,142.3358917,1.09E+02
0.4,0.00044566,0.000146389,445.66,146.3890076,1.09E+02
0.42,0.00044545,0.000130415,445.45,130.4149628,1.09E+02
0.44,0.0004481,0.000129223,448.1,129.2228699,1.09E+02
0.46,0.00044629,0.00015378,446.29,153.7799835,1.09E+02
0.48,0.00045362,0.000170469,453.62,170.4692841,1.09E+02
0.5,0.00044838,0.000146389,448.38,146.3890076,1.09E+02
0.52,0.00044957,0.000170946,449.57,170.9461212,1.09E+02
0.54,0.00045097,0.000148773,450.97,148.7731934,1.09E+02
0.56,0.00045299,0.000130415,452.99,130.4149628,1.10E+02
0.58,0.00045306,0.0001297,453.06,129.699707,1.09E+02
0.6,0.00045432,0.000132799,454.32,132.7991486,1.09E+02
0.62,0.00045592,0.000180244,455.92,180.2444458,1.10E+02
0.64,0.00045453,0.000128508,454.53,128.5076141,1.10E+02
0.66,0.00045676,0.000136375,456.76,136.3754272,1.09E+02
0.68,0.00045648,0.000149965,456.48,149.9652863,1.10E+02
0.7,0.00045886,0.00015974,458.86,159.740448,1.10E+02
0.72,0.00045963,0.000147581,459.63,147.5811005,1.09E+02
0.74,0.00045977,0.000122309,459.77,122.3087311,1.10E+02
0.76,0.00046025,0.000127554,460.25,127.5539398,1.09E+02
0.78,0.00046067,0.000169754,460.67,169.7540283,1.09E+02
0.8,0.00046822,0.000133753,468.22,133.7528229,1.10E+02
0.82,0.00046445,0.000137329,464.45,137.3291016,1.09E+02
0.84,0.00046451,0.000150681,464.51,150.680542,1.10E+02
0.86,0.00046612,0.000179291,466.12,179.2907715,1.10E+02
0.88,0.00046884,0.000153542,468.84,153.5415649,1.09E+02
0.9,0.00047415,0.000145912,474.15,145.9121704,1.09E+02
0.92,0.00047115,0.00014472,471.15,144.7200775,1.09E+02
0.94,0.00047255,0.000144482,472.55,144.4816589,1.09E+02
0.96,0.0004738,0.000138521,473.8,138.5211945,1.09E+02
0.98,0.0004745,0.00015521,474.5,155.210495,1.10E+02
1,0.00047583,0.000133514,475.83,133.5144043,1.09E+02
1.02,0.00047813,0.000132084,478.13,132.0838928,1.10E+02
1.04,0.00047876,0.000179052,478.76,179.0523529,1.10E+02
1.06,0.00047953,0.000152826,479.53,152.8263092,1.09E+02
1.08,0.00048037,0.000161886,480.37,161.8862152,1.10E+02
1.1,0.0004819,0.000150204,481.9,150.2037048,1.09E+02
1.12,0.00048938,0.000150919,489.38,150.9189606,1.09E+02
1.14,0.00048407,0.000127316,484.07,127.3155212,1.09E+02
1.16,0.00048358,0.000132322,483.58,132.3223114,1.10E+02
1.18,0.00048477,0.0001266,484.77,126.6002655,1.09E+02
